"name","cas","dcb","code","pharmacy"
barbatimao,,,"39706",b
bardana ext seco,,,"11670",c
bardana extrato seco,,"10861","8099",a
bardana folhas,,,"18170",b
bardana homeo,,,"7376",b
bardana tintura,,,"6108",c
bardana tm,,,"9944",b
baryta bromata homeo,,,"7344",b
baryta iodata homeo,,,"5994",b
baryta muriatica homeo,,,"5995",b
base adimax,,,"8485",c
base aqua bomb,,,"12607",b
base aqua bomb,,,"11615",c
base body splash,,,"13503",a
base cappuccino,,,"10209",c
base cha  limao via farma,,,"10693",c
base eferv sache laranja,,,"6528",c
base efervescente s/ sabor,"144558",,"4318",c
base efervescente sabor laranj,,,"2085",b
base esmalte,,,"6812",c
base floral 30%,,,"6289",c
base floral infantil,,,"8272",c
base gomage,,,"9382",c
base hydra fresh,,,"3957",c
base hydrafresh,,,"4148",b
base omega gold,,,"4293",b
base omega gold,,,"6580",c
base omega gold biotec,,,"8889",a
base orodispersivel,,,"12413",a
base p/ biscoito vet maior,,,"8813",c
base p/ biscoito vet menor,,,"8467",c
base p/ strips,,,"10313",c
base para gloss biovital,,,"9449",c
base para iogurte,,,"11029",c
base para ovulo,,,"5507",c
base polifil,,,"10301",c
base second skin,,,"3371",a
base sense gel antisseptico,,,"14917",b
base shampoo perolado pronto,,,"13566",a
base shampoo transparente,,,"39417",a
base skin cell,,,"10664",c
base sylvagel,,,"2830",b
base unha fraca,,,"22275",b
base vitalgreen serum glucam *,,,"5020",c
base yellow free,,,"9392",c
baseffer sodium free neutra,,,"12122",b
baseffer sodium free tangerina,,,"12123",b
basil floral (cal),,,"7952",b
basilicum floral (mg),,,"3480",b
bastao make up stick,,,"12132",c
batata homeo,,,"14129",b
"batom stick 4,5g",,,"10459",c
batoque 10,,,"7853",b
batoque 10mm,,,"8612",b
batoque 10mm,,,"10935",c
batoque 11mm,,,"10945",c
batoque 11mm,,,"8611",b
"batoque 16,5 mm",,,"10941",c
"batoque 16,5mm",,,"12553",b
"batoque 20,5 mm",,,"9594",b
"batoque 21,8mm",,,"10421",b
batoque adaptador oralp. 24mm,,,"12143",b
